authority_id,name,type,code,hectares,population
129,Tameside,Metropolitan District,E08000008,10315.421,221692
71,Leicestershire,County,E10000018,208378.684,675309
142,West Sussex,County,E10000032,202346.329,836256
144,Wigan,Metropolitan District,E08000010,18817.091,322022
45,Gloucestershire,County,E10000013,270452.825,617162
87,North Tyneside,Metropolitan District,E08000022,8481.918,202494
55,Herefordshire,Unitary Authority,E06000019,217970.958,188099
32,Derby,Unitary Authority,E06000015,7803.111,254251
16,Bristol,Unitary Authority,E06000023,23533.937,449328
51,Haringey,London Borough,E09000014,2959.837,272864
122,Stockton on Tees,Unitary Authority,E06000004,20973.097,194803
103,Rochdale,Metropolitan District,E08000005,15812.803,214195
26,City of London,London Borough,E09000001,314.942,8760
137,Waltham Forest,London Borough,E09000031,3880.793,271170
21,Cambridgeshire,County,E10000003,305400.769,647238
48,Halton,Unitary Authority,E06000006,9032.148,126528
77,Medway,Unitary Authority,E06000035,26906.393,276492
125,Sunderland,Metropolitan District,E08000024,13963.011,277150
78,Merton,London Borough,E09000024,3762.466,204565
69,Leeds,Metropolitan District,E08000035,55170.639,774060
41,East Sussex,County,E10000011,172516.861,544064
109,Sheffield,Metropolitan District,E08000019,36793.009,569737
60,Islington,London Borough,E09000019,1485.664,227692
128,Swindon,Unitary Authority,E06000030,23009.336,217160
40,East Riding of Yorkshire,Unitary Authority,E06000011,249479.584,336685
67,Lambeth,London Borough,E09000022,2724.94,324431
4,Bath and NE Somerset,Unitary Authority,E06000022,35112.321,184874
150,Worcestershire,County,E10000034,174051.43,578593
86,North Somerset,Unitary Authority,E06000024,39080.451,209944
43,Essex,County,E10000012,369530.887,1443151
94,Oxfordshire,County,E10000025,260594.765,677810
79,Middlesbrough,Unitary Authority,E06000002,5455.357,139509
111,Slough,Unitary Authority,E06000039,3254.201,145734
9,Blackpool,Unitary Authority,E06000009,4315.074,139578
33,Derbyshire,County,E10000007,255076.235,782365
143,Westminster,London Borough,E09000033,2203.005,242299
56,Hertfordshire,County,E10000015,164306.486,1166339
37,Dudley,Metropolitan District,E08000027,9795.819,316464
133,Tower Hamlets,London Borough,E09000030,2157.501,295236
97,Poole,Unitary Authority,E06000029,7471.614,150577
61,Kensington and Chelsea,London Borough,E09000020,1238.379,157711
66,Knowsley,Metropolitan District,E08000011,8650.007,147231
31,Darlington,Unitary Authority,E06000005,19747.56,105389
34,Devon,County,E10000008,663609.856,773077
7,Birmingham,Metropolitan District,E08000025,26779.121,1111307
20,Calderdale,Metropolitan District,E08000033,36396.104,208402
49,Hammersmith and Fulham,London Borough,E09000013,1715.409,179410
127,Sutton,London Borough,E09000029,4384.698,200145
64,Kingston upon Thames,London Borough,E09000021,3726.117,173525
68,Lancashire,County,E10000017,308300.799,1191691
83,Norfolk,County,E10000020,550829.042,884978
95,Peterborough,Unitary Authority,E06000031,34343.798,193980
76,Manchester,Metropolitan District,E08000003,11564.826,530292
131,Thurrock,Unitary Authority,E06000034,18431.778,165184
85,North Lincolnshire,Unitary Authority,E06000013,87568.475,169820
39,Ealing,London Borough,E09000009,5554.428,343059
141,West Berkshire,Unitary Authority,E06000037,70416.943,156020
124,Suffolk,County,E10000029,385357.501,741895
96,Plymouth,Unitary Authority,E06000026,8436.268,262712
100,Redbridge,London Borough,E09000026,5644.225,296793
