name,authority_id,postcode,lng,lat,closed,statutory2010,statutory2016,type,closed_year,opened_year,replacement,notes
Wantz,1,RM107DX,0.160202539104985,51.552582845799,t,f,f,,2012,,f,now Eastbrook Community Centre
Thames View,1,IG110LG,0.103861148821636,51.5279414380667,f,t,t,LAL,,,f,
Markyate,1,RM8 2LD,0.117862819754107,51.5457020098539,t,f,f,,2012,,f,now a Nursery or Doctors' surgery
Castle Green,1,RM9 4UN,0.126459090003006,51.5333342732973,t,f,f,,2013,,f,Still shown on council website https://www.lbbd.gov.uk/services/castle-green-library/  poss part of school but no mention on school website
Barking,1,IG117NB,0.0797915814246661,51.5363203000661,f,t,t,LAL,,,f,
Rush Green,1,RM7 0TL,0.176149516626235,51.5639158475343,f,f,f,,,,f,"nb collection moved to B&D college, which now runs 'its own' public library (article, April 2016)"
Valence,1,RM8 3HT,0.134173825589532,51.5583110493207,f,t,t,LAL,,,f,
Robert Jeyes community library,1,RM6 6AS,0.142666530641275,51.5726346321106,f,f,f,CRL,,,f,
Marks Gate,1,RM6 5NJ,0.135876693607404,51.5854112428432,f,f,f,CRL,,,f,
Rectory,1,RM109SA,0.15415473693628,51.5390699232288,t,f,f,,2010,,f,
Dagenham,1,RM109QS,0.149601671610258,51.5400707203342,f,t,t,LAL,,,f,
Fanshawe,1,RM9 5DX,0.144875106942789,51.5468928648875,t,f,f,,2010,,f,
Edgware ,2,HA8 8NN,-0.274019525856022,51.6162726126084,f,t,t,LAL,,,f,
Grahame Park ,2,NW9 5XL,-0.245082574058333,51.6017887060823,f,t,t,LAL,,,f,
Chipping Barnet ,2,EN5 4QT,-0.204773166435613,51.6561488888738,f,t,t,LAL,,,f,
Mill Hill ,2,NW7 2HX,-0.243591431134356,51.6149850231988,f,t,t,LAL,,,f,Offer to community be a partnership library
Childs Hill ,2,NW2 2QE,-0.200978544459396,51.5620672750378,f,t,t,LAL,,,f,Offer to community be a partnership library
Golders Green ,2,NW118HE,-0.201776306924474,51.5747587321845,f,t,t,LAL,,,f,
East Barnet ,2,EN4 8SG,-0.161516020016885,51.644383127942,f,t,t,LAL,,,f,Offer to community be a partnership library
Garden Suburb Community Library ,2,NW116LB,-0.18364220067928,51.5861875111828,f,f,f,CRL,,,f,
South Friern ,2,N10 1HD,-0.148231536211729,51.6007773051802,f,t,t,LAL,,,f,Offer to community be a partnership library
East Finchley ,2,N2  9BB,-0.167582306343046,51.5939230820632,f,t,t,LAL,,,f,
Church End ,2,N3  1TR,-0.196691857488251,51.6000301173978,f,t,t,LAL,,2015,f,
Osidge ,2,N11 1EY,-0.149210937887414,51.6292445669182,f,t,t,LAL,,,f,
North Finchley ,2,N12 9HP,-0.174623340447349,51.6185189380607,f,t,t,LAL,,,f,
Friern Barnet Community Library ,2,N11 3DS,-0.153446386694506,51.6135386925677,f,f,f,CRL,,,f,
Hendon ,2,NW4 4BQ,-0.228961339883437,51.5885886779917,f,t,t,LAL,,,f,
Burnt Oak ,2,HA8 0UB,-0.26323496885867,51.6032636544753,f,t,t,LAL,,,f,
Kendray ,3,S70 3NG,-1.45560163485759,53.5419787409889,f,t,t,LAL,,,f,
Worsbrough ,3,S70 5EN,-1.46371878527984,53.5313371011011,f,t,t,LAL,,,f,
Roundhouse ,3,S71 3AE,-1.47956219084854,53.5803490681214,f,t,t,LAL,,,f,
Royston ,3,S71 4EP,-1.45602925713645,53.6004413469395,f,t,t,LAL,,,f,
Priory ,3,S71 5PN,-1.43853775290347,53.5577105797985,f,t,t,LAL,,,f,
Grimethorpe ,3,S72 7BB,-1.38241145683714,53.5753300992466,f,t,t,LAL,,,f,
Cudworth ,3,S72 8UQ,-1.41860406461369,53.5769585159657,f,t,t,LAL,,,f,
Wombwell ,3,S73 0BA,-1.39704664893717,53.5221300171216,f,t,t,LAL,,,f,refurbishment in 2014
Darfield ,3,S73 9LG,-1.37247454571916,53.5334639977782,f,t,t,LAL,,,f,
Hoyland ,3,S74 9AF,-1.43771961198336,53.4998208739388,f,t,t,LAL,,,f,
Dodworth ,3,S75 3RF,-1.52481608616562,53.5423635118673,f,t,t,LAL,,,f,
Mapplewell ,3,S75 6AL,-1.50823910127637,53.5860161381432,f,t,t,LAL,,,f,
Penistone ,3,S36 6BR,-1.63073226255527,53.5235649320969,f,t,t,LAL,,,f,
Thurnscoe ,3,S63 0JS,-1.31119712040229,53.5441827658309,f,t,t,LAL,,,f,
Goldthorpe ,3,S63 9NE,-1.30508386936079,53.5341251921466,f,t,t,LAL,,,f,
Barnsley Central Library ,3,S70 1WA,-1.48082955807204,53.5508545956914,f,t,t,LAL,,,f,new building planned for 2017
Moorland Road,4,BA2 3PL,-2.37944464671511,51.3774881277926,f,t,t,LAL,,,f,
Southside Community Library,4,BA2 1NR,-2.40418305238132,51.3755350813528,f,f,f,CRL,,,f,Library is in Southside Youth Centre adjacent to cafe
Larkhall Community Library,4,BA1 6RA,-2.34643680424149,51.3977227921537,f,f,f,CRL,,,f,Library is inside Oriel Hall
Weston,4,BA1 4BU,-2.39011903127994,51.3959669317134,f,t,t,LAL,,,f,
Bath Central,4,BA1 5AN,-2.35898913501913,51.3835231052731,f,t,t,LAL,,,f,
Paulton (The Hub),4,,,,f,f,t,LAL,,2013,f,
Keynsham,4,BS311FS,-2.49702512542308,51.4141209124213,f,t,t,LAL,,,f,
Saltford,4,BS313DJ,-2.45933142004912,51.4020820641159,f,t,t,LAL,,,f,
Chew Stoke Community Library,4,BS408XE,-2.63268261838048,51.3528893548904,f,f,f,CRL,,,f,"Library is in The Bilbie Room, a function room within the Chew Stoke Inn"
Radstock,4,BA3 3PR,-2.4479561396092,51.291257708435,f,t,t,LAL,,,f,
Midsomer Norton,4,BA3 2DA,-2.48147208599219,51.2859093464263,f,t,t,LAL,,,f,
Coombe Hay Community Library,4,BA2 7EG,-2.38339541128789,51.3379026657421,f,f,f,CRL,,,f,Library is inside Combe Hay Church
Kempston ,5,MK428AU,-0.49345224081466,52.1211073282369,f,t,t,LAL,,,f,
Putnoe ,5,MK418HQ,-0.440873340429908,52.1548425439126,f,t,t,LAL,,,f,
Bromham ,5,MK438NT,-0.533588079379264,52.1496928131766,f,t,t,LAL,,,f,
Bedford Central Library ,5,MK401PG,-0.468231187818367,52.136301361288,f,t,t,LAL,,,f,
Wootton ,5,MK439LH,-0.529010524366254,52.0987544472347,f,t,t,LAL,,,f,
