authority_id,name,code,hectares,multiple,income,employment,education,health,crime,housing,environment,idaci,idaopi,education,adultskills,services,wider,indoors,outdoors,population,dependent_children,working_age,sixteen_fiftynine,over_sixty
1,Barking and Dagenham,E09000002,3779.934,2.600,2.491,3.227,3.645,3.909,2.055,1.673,3.855,2.500,2.664,4.700,2.900,7.955,1.064,4.273,2.936,201979,54912,126143,120507,25898
2,Barnet,E09000003,8674.837,5.915,5.521,6.569,7.976,7.948,3.905,2.867,4.502,5.682,4.962,7.739,7.810,6.872,1.777,5.976,2.455,379691,80144,243292,230065,67645
3,Barnsley,E08000016,32907.763,3.932,4.102,3.272,3.374,2.673,4.918,8.687,7.259,4.190,4.823,3.551,3.306,5.871,8.748,8.027,4.816,239319,44065,147697,136419,57350
4,Bath and NE Somerset,E06000022,35112.321,7.400,7.017,7.183,6.939,7.313,7.070,6.504,6.478,7.026,6.922,6.530,7.217,5.017,6.470,5.417,7.852,184874,30628,117335,109496,43566
5,Bedford,E06000055,47640.838,5.816,5.612,5.631,5.573,6.282,6.107,4.602,5.932,5.466,6.301,5.427,5.728,4.796,4.641,5.942,5.194,166252,33595,102347,95399,36318
6,Bexley,E09000004,6428.649,6.493,5.966,6.205,5.390,7.808,5.288,4.849,6.548,5.377,6.575,6.678,4.267,6.062,3.349,6.308,5.616,242142,49770,149972,140753,50178
7,Birmingham,E08000025,26779.121,3.005,3.297,3.341,4.152,3.424,3.773,2.426,2.640,3.584,3.160,5.045,3.776,6.681,1.786,3.099,2.357,1111307,254114,703709,666017,185880
8,Blackburn with Darwen,E06000008,13702.199,3.593,3.945,3.593,3.857,2.495,3.648,8.308,3.890,4.604,4.044,4.758,3.429,6.989,6.868,3.978,4.176,146846,34141,90498,84569,27431
9,Blackpool,E06000009,4315.074,2.745,3.064,2.766,3.351,1.638,2.862,9.309,2.947,3.266,3.255,3.766,3.000,7.766,7.766,2.500,4.681,139578,25364,84163,77900,35308
10,Bolton,E08000001,13979.21,4.508,4.503,4.136,4.847,3.350,4.729,6.401,4.774,4.938,4.576,5.610,4.395,6.486,5.079,4.932,4.277,281619,58986,172356,160558,60571
11,Bournemouth,E06000028,4716.808,5.191,5.191,5.282,5.273,5.382,4.391,5.882,4.236,5.127,4.664,4.500,6.182,6.282,4.255,4.645,3.318,194516,31248,126463,119005,43117
12,Bracknell Forest,E06000036,10938.421,7.813,7.347,7.800,6.200,7.907,7.440,4.640,9.373,7.040,6.880,5.707,6.533,3.493,5.853,8.480,9.520,118982,24851,76701,71988,21593
13,Bradford,E08000032,36641.986,3.884,4.184,4.081,4.035,3.361,3.610,6.345,3.394,4.590,4.145,4.435,3.794,6.458,5.045,3.300,3.865,531176,125352,324912,303954,99230
14,Brent,E09000005,4323.27,4.017,3.879,5.000,5.925,6.422,2.994,1.682,3.647,3.780,2.821,6.243,5.607,7.711,1.104,5.572,1.601,324012,67718,217163,205992,48975
15,Brighton and Hove,E06000043,8537.682,4.964,5.291,5.491,5.982,4.636,5.164,4.127,3.824,5.467,4.321,5.036,7.315,7.800,2.267,4.533,2.709,285276,45679,199287,189855,48543
16,Bristol,E06000023,23533.937,4.525,5.042,5.008,4.867,4.460,3.517,5.722,3.646,4.951,4.696,4.270,5.840,7.179,3.578,4.046,2.897,449328,83751,302718,287688,75972
17,Bromley,E09000006,15013.487,6.832,6.538,6.898,7.305,7.990,4.589,4.406,6.355,6.239,6.868,7.497,6.904,5.792,3.416,6.944,4.244,324857,64585,200288,187523,70825
18,Buckinghamshire,E10000002,156494.916,8.072,7.724,8.028,7.229,9.003,6.918,5.382,8.172,7.705,7.621,6.843,7.433,4.022,6.646,7.799,7.671,528400,107326,319549,296267,121501
19,Bury,E08000002,9946.009,5.467,5.242,4.717,6.208,4.275,5.483,7.750,5.083,5.717,5.417,6.658,5.567,6.592,6.508,5.383,4.167,187884,38059,114457,106365,42325
20,Calderdale,E08000033,36396.104,4.852,4.953,4.633,5.625,4.367,4.813,7.617,3.203,5.109,5.398,5.945,5.203,5.680,7.383,2.773,5.367,208402,40715,128136,118641,47878
21,Cambridgeshire,E10000003,305400.769,7.109,7.056,7.141,6.187,7.515,7.352,4.888,6.509,6.824,7.107,5.520,6.845,4.104,5.755,6.000,6.877,647238,118357,405725,377757,147415
22,Camden,E09000007,2178.932,4.511,4.594,5.383,7.241,5.534,3.556,5.008,1.699,4.098,3.677,6.135,8.241,9.000,2.376,3.165,1.015,241059,41796,169323,161884,36475
23,Central Bedfordshire,E06000056,71566.521,7.548,7.019,7.395,5.943,8.153,6.331,6.401,7.962,6.650,7.236,5.503,6.306,4.331,7.490,6.930,8.363,274022,53324,170579,158356,60693
24,Cheshire East,E06000049,116635.737,7.145,7.201,6.880,7.205,6.402,7.103,6.667,5.923,7.274,7.376,6.966,7.205,4.030,8.774,5.714,5.594,375392,66181,222198,204012,102395
25,Cheshire West and Chester,E06000050,94120.736,6.264,6.264,5.755,6.203,5.330,6.316,7.057,6.321,6.255,6.514,5.972,6.340,4.731,8.208,5.962,5.962,333917,58570,202294,186278,86718
26,City of London,E09000001,314.942,6.667,8.167,8.167,8.833,7.333,9.333,2.333,1.833,7.833,7.667,8.500,9.167,7.000,1.500,2.667,1.167,8760,995,6309,5913,1815
27,Cornwall,E06000052,361335.741,4.380,4.905,4.702,5.589,5.052,6.899,3.844,2.494,5.377,5.322,5.074,5.960,3.684,4.739,1.779,9.589,549404,92792,317036,287700,164755
28,Coventry,E08000026,9863.907,4.385,4.554,4.790,4.795,3.677,4.046,5.097,3.667,4.626,4.123,5.031,4.631,6.826,3.482,3.631,3.738,345385,67767,225564,213793,62067
29,Croydon,E09000008,8649.441,4.841,4.795,5.291,6.209,6.050,3.177,2.714,4.791,4.564,5.100,6.241,6.041,6.627,1.923,5.477,3.259,379031,83566,242992,228683,65037
30,Cumbria,E10000006,718247.316,5.349,6.215,5.511,5.231,4.629,7.112,6.181,4.480,6.489,6.564,4.944,5.464,4.486,8.174,3.377,9.321,497996,81703,294283,267974,144543
31,Darlington,E06000005,19747.56,5.108,4.831,4.323,5.354,3.708,4.554,8.231,7.708,5.077,5.215,5.569,5.046,6.092,8.354,7.477,6.508,105389,20060,63614,58764,25863
32,Derby,E06000015,7803.111,4.768,4.881,4.695,4.834,4.152,4.437,6.192,4.258,4.815,4.881,4.629,5.079,5.960,5.285,4.702,3.278,254251,52845,158389,149026,50929
33,Derbyshire,E10000007,255076.235,5.916,5.876,5.369,5.314,5.377,6.780,7.014,6.037,5.919,6.204,5.391,5.122,4.831,7.682,5.430,6.788,782365,134727,475125,436202,206273
34,Devon,E10000008,663609.856,6.002,6.204,6.090,5.991,6.565,7.335,5.341,4.256,6.462,6.392,5.547,6.271,4.013,6.998,3.230,9.372,773077,125792,447228,406485,234652
35,Doncaster,E08000017,56855.102,4.062,4.263,3.655,3.820,3.371,3.902,8.052,5.655,4.454,4.907,4.273,3.325,5.716,8.031,7.072,3.139,304813,58044,187121,172954,71878
36,Dorset,E10000009,257297.381,6.803,6.807,6.655,5.727,7.309,7.759,5.004,6.474,6.731,7.325,5.129,6.265,3.731,6.610,5.562,8.518,420585,67228,229736,206916,142611
37,Dudley,E08000027,9795.819,5.299,4.866,4.512,4.647,5.010,6.333,7.502,5.090,5.244,4.930,5.284,4.040,5.831,6.627,4.338,6.318,316464,60420,189336,175149,78601
38,Durham,E06000047,223269.869,4.460,4.330,3.509,4.941,2.846,6.151,6.694,9.028,4.491,4.725,5.506,4.401,4.935,6.852,8.559,8.744,519695,88653,321194,295481,132146
39,Ealing,E09000009,5554.428,4.689,4.531,5.490,6.719,5.719,3.148,2.837,3.673,4.418,3.796,7.102,6.316,7.857,1.546,5.449,1.735,343059,73544,226382,213862,54192
40,East Riding of Yorkshire,E06000011,249479.584,6.714,6.519,6.095,6.057,7.138,7.381,5.667,6.329,6.790,6.795,5.800,6.110,4.152,7.162,5.676,7.162,336685,54917,194397,176195,102808
41,East Sussex,E10000011,172516.861,5.948,5.766,5.617,5.258,6.277,7.040,5.204,6.240,5.778,6.371,4.757,5.745,4.307,5.933,5.574,7.337,544064,93096,308234,280608,165912
42,Enfield,E09000010,8220.025,4.240,3.623,4.568,5.404,6.699,3.131,2.683,4.317,3.492,3.902,6.098,4.721,7.279,1.732,4.902,3.158,328433,74791,209083,197900,54305
43,Essex,E10000012,369530.887,6.234,6.037,6.123,4.900,6.882,5.854,5.253,7.258,5.865,6.415,5.139,4.655,4.485,5.603,6.724,7.185,1443151,268343,867150,801280,363771
44,Gateshead,E08000037,14407.989,4.643,4.294,3.810,4.730,2.913,6.611,6.365,8.484,4.690,4.119,5.198,4.397,5.913,5.254,8.413,6.960,200996,35154,125359,116430,48095
45,Gloucestershire,E10000013,270452.825,6.783,6.563,6.638,6.185,6.928,6.890,5.887,6.137,6.442,6.775,5.901,6.370,4.142,7.386,5.083,8.005,617162,109933,373104,343143,160101
46,Greenwich,E09000011,5044.19,4.238,3.874,4.570,5.868,4.934,3.040,3.583,4.298,3.623,3.404,6.073,5.728,7.576,2.020,5.497,2.503,274803,60063,184212,175967,37768
47,Hackney,E09000012,1904.902,2.493,2.785,3.674,5.757,3.424,2.250,1.715,1.819,2.535,1.313,5.326,6.208,9.549,1.069,4.132,1.000,269009,55678,192534,186046,26619
48,Halton,E06000006,9032.148,3.886,4.241,3.456,4.392,2.506,4.329,6.190,5.608,4.203,4.684,5.380,3.646,4.785,6.405,6.177,4.051,126528,25195,78162,71976,28662
49,Hammersmith and Fulham,E09000013,1715.409,4.504,4.619,5.496,7.752,4.602,3.558,4.292,1.796,4.062,3.204,6.602,8.681,9.274,1.912,3.469,1.018,179410,31304,128375,123047,24461
50,Hampshire,E10000014,373790.599,7.588,7.376,7.490,6.392,7.607,7.079,5.722,7.435,7.172,7.563,5.822,6.865,3.845,7.431,7.410,6.519,1353043,249309,808358,745877,348588
51,Haringey,E09000014,2959.837,3.566,3.655,4.441,5.821,5.069,2.352,2.366,2.317,3.600,2.517,5.531,6.124,8.683,1.372,3.993,1.193,272864,54591,191177,183114,34246
52,Harrow,E09000015,5046.33,6.745,5.555,6.803,7.752,8.321,4.949,4.095,6.292,5.569,4.613,8.175,7.073,6.460,2.745,6.920,4.080,247130,50779,157074,147062,47972
53,Hartlepool,E06000001,9844.17,3.948,3.655,3.017,4.483,2.655,5.190,8.086,8.310,4.017,3.931,4.931,3.966,5.983,7.897,8.379,6.603,92493,17586,56551,52222,22102
54,Havering,E09000016,11445.735,6.000,5.640,5.840,4.607,6.853,4.227,5.853,6.907,5.127,6.273,5.573,3.807,6.213,4.160,6.827,5.447,249085,48120,152615,142256,57089
55,Herefordshire,E06000019,217970.958,5.276,6.138,6.328,5.621,6.759,7.422,2.931,3.681,6.543,6.250,5.431,5.603,3.103,4.629,2.802,9.267,188099,31725,109972,99965,54959
56,Hertfordshire,E10000015,164306.486,7.358,6.803,7.141,6.675,7.800,7.110,5.283,7.536,6.639,6.857,6.720,6.514,4.887,5.174,7.230,6.662,1166339,236077,724928,678139,245481
57,Hillingdon,E09000017,11570.063,5.857,5.398,6.298,6.000,6.453,3.894,4.739,6.081,4.919,5.422,6.298,5.484,6.087,3.304,6.789,4.155,297735,63531,193001,182816,49925
58,Hounslow,E09000018,5658.541,4.634,4.838,6.000,6.373,6.176,3.289,1.866,3.965,4.444,4.162,6.486,6.070,6.873,1.204,5.577,1.986,268770,56725,179564,170284,40725
59,Isle of Wight,E06000046,39492.895,4.584,4.584,3.989,3.899,5.022,6.921,6.225,4.112,4.910,5.472,3.022,5.169,4.820,6.124,3.292,6.910,139395,22109,78279,70522,45585
60,Islington,E09000019,1485.664,2.935,3.146,3.935,6.260,3.488,2.089,2.837,1.813,2.350,1.935,5.065,7.593,9.415,1.341,4.276,1.000,227692,36259,170158,164154,26640
61,Kensington and Chelsea,E09000020,1238.379,4.786,6.010,6.524,8.544,7.252,3.757,2.650,1.233,6.243,4.816,7.748,8.932,9.184,1.311,2.689,1.000,157711,25839,107756,101811,29381
62,Kent,E10000016,363955.258,5.956,5.830,5.869,5.373,6.705,5.081,5.380,6.405,5.690,6.269,5.414,5.276,4.629,5.762,6.132,6.239,1524719,291901,915530,847456,375625
63,Kingston upon Hull,E06000010,8149.757,2.928,3.265,3.157,2.916,3.205,2.735,4.886,3.151,3.428,3.247,3.163,2.855,6.108,3.645,4.807,1.633,258995,49970,168373,158029,49638
