authority,population,distance
Barking and Dagenham,24482,0.0
Barking and Dagenham,114468,0.5
Barking and Dagenham,53052,1.0
Barking and Dagenham,8194,1.5
Barking and Dagenham,1783,2.0
Barnet,52152,0.0
Barnet,237950,0.5
Barnet,84764,1.0
Barnet,4254,1.5
Barnet,571,2.0
Barnsley,24542,0.0
Barnsley,110699,0.5
Barnsley,67975,1.0
Barnsley,25294,1.5
Barnsley,5032,2.0
Barnsley,1864,2.5
Barnsley,2818,3.0
Barnsley,720,4.0
Barnsley,375,5.0
Bath and NE Somerset,17143,0.0
Bath and NE Somerset,77980,0.5
Bath and NE Somerset,33793,1.0
Bath and NE Somerset,22682,1.5
Bath and NE Somerset,12310,2.0
Bath and NE Somerset,6477,2.5
Bath and NE Somerset,3977,3.0
Bath and NE Somerset,2384,3.5
Bath and NE Somerset,1355,4.0
Bath and NE Somerset,1861,4.5
Bath and NE Somerset,1670,5.0
Bath and NE Somerset,286,5.5
Bath and NE Somerset,646,6.0
Bath and NE Somerset,1290,6.5
Bath and NE Somerset,482,7.0
Bath and NE Somerset,354,7.5
Bath and NE Somerset,184,8.5
Bedford,8932,0.0
Bedford,58737,0.5
Bedford,46228,1.0
Bedford,17867,1.5
Bedford,5836,2.0
Bedford,3754,2.5
Bedford,3680,3.0
Bedford,4576,3.5
Bedford,4129,4.0
Bedford,1371,4.5
Bedford,3656,5.0
Bedford,1369,5.5
Bedford,509,6.0
Bedford,968,6.5
Bedford,2005,7.0
Bedford,268,7.5
Bedford,675,8.0
Bedford,341,8.5
Bedford,571,9.0
Bedford,385,9.5
Bedford,395,10.5
Bexley,14276,0.0
Bexley,94511,0.5
Bexley,101138,1.0
Bexley,32057,1.5
Bexley,160,2.0
Birmingham,109007,0.0
Birmingham,655167,0.5
Birmingham,305402,1.0
Birmingham,39317,1.5
Birmingham,2414,2.0
Blackburn with Darwen,9132,0.0
Blackburn with Darwen,67838,0.5
Blackburn with Darwen,44591,1.0
Blackburn with Darwen,18056,1.5
Blackburn with Darwen,3358,2.0
Blackburn with Darwen,930,3.5
Blackburn with Darwen,1046,4.0
Blackburn with Darwen,1085,4.5
Blackburn with Darwen,810,5.0
Blackpool,19999,0.0
Blackpool,86213,0.5
Blackpool,31465,1.0
Blackpool,1901,1.5
Bolton,22666,0.0
Bolton,109015,0.5
Bolton,94295,1.0
Bolton,38518,1.5
Bolton,14479,2.0
Bolton,2646,2.5
Bournemouth,35111,0.0
Bournemouth,132283,0.5
Bournemouth,26860,1.0
Bournemouth,262,1.5
Bracknell Forest,18437,0.0
Bracknell Forest,68286,0.5
Bracknell Forest,27741,1.0
Bracknell Forest,2763,1.5
Bracknell Forest,1469,2.0
Bracknell Forest,286,2.5
Bradford,79020,0.0
Bradford,289212,0.5
Bradford,121826,1.0
Bradford,21155,1.5
Bradford,7395,2.0
Bradford,7363,2.5
Bradford,3758,3.0
Bradford,593,3.5
Bradford,479,4.5
Bradford,375,5.0
Brent,35570,0.0
Brent,158116,0.5
Brent,99126,1.0
Brent,28137,1.5
Brent,3063,2.0
Brighton and Hove,34894,0.0
Brighton and Hove,170334,0.5
Brighton and Hove,72004,1.0
Brighton and Hove,8044,1.5
Bristol,92210,0.0
Bristol,299813,0.5
Bristol,56408,1.0
Bristol,897,1.5
Bromley,31201,0.0
Bromley,172512,0.5
Bromley,92841,1.0
Bromley,19674,1.5
Bromley,7367,2.0
Bromley,917,2.5
Bromley,345,3.0
Buckinghamshire,39082,0.0
Buckinghamshire,184036,0.5
Buckinghamshire,136913,1.0
Buckinghamshire,62689,1.5
Buckinghamshire,34944,2.0
Buckinghamshire,29050,2.5
Buckinghamshire,13609,3.0
Buckinghamshire,4255,3.5
Buckinghamshire,4261,4.0
Buckinghamshire,6870,4.5
Buckinghamshire,4039,5.0
Buckinghamshire,3564,5.5
Buckinghamshire,1829,6.0
Buckinghamshire,923,6.5
Buckinghamshire,1399,7.0
Buckinghamshire,287,7.5
Buckinghamshire,650,8.0
Bury,21939,0.0
Bury,114431,0.5
Bury,43327,1.0
Bury,7289,1.5
Bury,898,2.0
Calderdale,35131,0.0
Calderdale,120041,0.5
Calderdale,35467,1.0
Calderdale,10156,1.5
Calderdale,4342,2.0
Calderdale,1466,2.5
Calderdale,708,3.0
Calderdale,728,3.5
Calderdale,363,4.0
Cambridgeshire,47812,0.0
Cambridgeshire,223510,0.5
Cambridgeshire,125446,1.0
Cambridgeshire,59363,1.5
Cambridgeshire,43007,2.0
Cambridgeshire,32491,2.5
Cambridgeshire,21867,3.0
Cambridgeshire,20129,3.5
Cambridgeshire,15353,4.0
Cambridgeshire,12102,4.5
Cambridgeshire,9600,5.0
Cambridgeshire,8747,5.5
Cambridgeshire,7829,6.0
Cambridgeshire,5959,6.5
Cambridgeshire,4583,7.0
Cambridgeshire,3176,7.5
Cambridgeshire,2399,8.0
Cambridgeshire,768,8.5
Cambridgeshire,929,9.0
Cambridgeshire,1156,9.5
Cambridgeshire,154,10.0
Cambridgeshire,563,10.5
Cambridgeshire,295,11.0
Camden,61259,0.0
Camden,165049,0.5
Camden,14751,1.0
Central Bedfordshire,24928,0.0
Central Bedfordshire,91589,0.5
Central Bedfordshire,60940,1.0
Central Bedfordshire,25881,1.5
Central Bedfordshire,16368,2.0
Central Bedfordshire,15116,2.5
Central Bedfordshire,15524,3.0
Central Bedfordshire,8291,3.5
Central Bedfordshire,2692,4.0
Central Bedfordshire,2876,4.5
Central Bedfordshire,1182,5.0
Central Bedfordshire,3872,5.5
Central Bedfordshire,1634,6.0
Central Bedfordshire,2845,6.5
Central Bedfordshire,284,7.0
Cheshire East,21797,0.0
Cheshire East,125539,0.5
Cheshire East,106104,1.0
Cheshire East,58244,1.5
Cheshire East,20093,2.0
Cheshire East,12083,2.5
Cheshire East,9586,3.0
