id,name,address,postcode,bbox
17,East Barnet,"85 Brookhill Road, East Barnet",EN4 8SG,"POLYGON((-0.184741571277783 51.6299335399279,-0.184741571277783 51.6588326688158,-0.138291223027435 51.6588326688158,-0.138291223027435 51.6299335399279,-0.184741571277783 51.6299335399279))"
15,Chipping Barnet,"3 Stapylton Road, Barnet",EN5 4QT,"POLYGON((-0.228005589505841 51.6416987928238,-0.228005589505841 51.6705989381296,-0.181541486655614 51.6705989381296,-0.181541486655614 51.6416987928238,-0.228005589505841 51.6416987928238))"
13,Burnt Oak,"Watling Avenue, Edgware, Middlesex",HA8 0UB,"POLYGON((-0.286441529928026 51.5888127147608,-0.286441529928026 51.6177145478594,-0.24002913348999 51.6177145478594,-0.24002913348999 51.5888127147608,-0.286441529928026 51.5888127147608))"
19,Edgware,"Hale Lane, Edgware",HA8 8NN,"POLYGON((-0.297232928236492 51.601821575226,-0.297232928236492 51.6307236037431,-0.25080684683716 51.6307236037431,-0.25080684683716 51.601821575226,-0.297232928236492 51.601821575226))"
87,Erdington Library,Orphanage Road,B24 9HP,"POLYGON((-1.86001564451848 52.5115774580382,-1.86001564451848 52.5405017974512,-1.81259236413784 52.5405017974512,-1.81259236413784 52.5115774580382,-1.86001564451848 52.5115774580382))"
107,South Yardley Library,Yardley Road,B25 8LT,"POLYGON((-1.84029692026484 52.4456162934588,-1.84029692026484 52.4745407534666,-1.79294487556628 52.4745407534666,-1.79294487556628 52.4456162934588,-1.84029692026484 52.4456162934588))"
105,Sheldon Library,Brays Road,B26 2RJ,"POLYGON((-1.80671822265939 52.4474116705071,-1.80671822265939 52.4763357662186,-1.75936483390558 52.4763357662186,-1.75936483390558 52.4474116705071,-1.80671822265939 52.4474116705071))"
76,Acocks Green Library,Shirley Road,B27 7XH,"POLYGON((-1.8478252087597 52.4305783653856,-1.8478252087597 52.459502977775,-1.80048916140526 52.459502977775,-1.80048916140526 52.4305783653856,-1.8478252087597 52.4305783653856))"
90,Hall Green Library,1221 Stratford Road,B28 9AD,"POLYGON((-1.87027965521728 52.4194977571111,-1.87027965521728 52.4484226547302,-1.82295510328852 52.4484226547302,-1.82295510328852 52.4194977571111,-1.87027965521728 52.4194977571111))"
115,Weoley Castle Library,76 Beckbury Road,B29 5HR,"POLYGON((-1.99171516036454 52.424572535024,-1.99171516036454 52.4534985780143,-1.94438325599251 52.4534985780143,-1.94438325599251 52.424572535024,-1.99171516036454 52.424572535024))"
102,Selly Oak Library,669 Bristol Road,B29 6AE,"POLYGON((-1.95958271243423 52.4296390810651,-1.95958271243423 52.4585648020731,-1.91224586455286 52.4585648020731,-1.91224586455286 52.4296390810651,-1.95958271243423 52.4296390810651))"
110,Stirchley Library,Bournville Lane,B30 2JT,"POLYGON((-1.94716898027602 52.4144206329074,-1.94716898027602 52.4433463116749,-1.89984862856965 52.4433463116749,-1.89984862856965 52.4144206329074,-1.94716898027602 52.4144206329074))"
95,Kings Norton Library,Pershore Road South,B30 3EU,"POLYGON((-1.95177831727167 52.3953465602528,-1.95177831727167 52.4242723766466,-1.90447830858117 52.4242723766466,-1.90447830858117 52.3953465602528,-1.95177831727167 52.3953465602528))"
99,Northfield Library,77 Church Road,B31 2LB,"POLYGON((-1.9910873144565 52.4005239572525,-1.9910873144565 52.4294501129725,-1.9437811699544 52.4294501129725,-1.9437811699544 52.4005239572525,-1.9910873144565 52.4005239572525))"
101,Quinton Library,Ridgacre Road,B32 2TW,"POLYGON((-2.01085893054593 52.4458104695675,-2.01085893054593 52.4747365806133,-1.96350397216158 52.4747365806133,-1.96350397216158 52.4458104695675,-2.01085893054593 52.4458104695675))"
79,Bartley Green Library,Adams Hill,B32 3QG,"POLYGON((-2.02216448191564 52.4216009319265,-2.02216448191564 52.4505272626205,-1.9748353144819 52.4505272626205,-1.9748353144819 52.4216009319265,-2.02216448191564 52.4216009319265))"
93,Kents Moat Library,55-57 Poolway,B33 8NF,"POLYGON((-1.81222023703446 52.4618775175249,-1.81222023703446 52.4908016009341,-1.76485122470359 52.4908016009341,-1.76485122470359 52.4618775175249,-1.81222023703446 52.4618775175249))"
