id,population,distance
1,603,0.0
1,2421,0.1
1,2524,0.2
1,6495,0.3
1,6548,0.4
1,7704,0.5
1,3678,0.6
1,2382,0.7
1,750,0.8
1,1396,0.9
1,440,1.0
1,1252,1.1
1,470,1.2
1,821,1.3
2,313,0.1
2,1834,0.2
2,3100,0.3
2,3282,0.4
2,3990,0.5
2,2615,0.6
2,801,0.7
3,2261,0.1
3,2802,0.2
3,4706,0.3
3,6357,0.4
3,5154,0.5
3,7196,0.6
3,7631,0.7
3,5067,0.8
3,4939,0.9
3,5477,1.0
3,2791,1.1
3,1672,1.2
3,1017,1.3
3,684,1.4
3,331,1.5
3,463,1.6
3,326,1.8
3,323,1.9
4,276,0.0
4,996,0.1
4,3973,0.2
4,3546,0.3
4,3460,0.4
4,2550,0.5
4,969,0.6
5,1142,0.1
5,1501,0.2
5,3076,0.3
5,890,0.4
5,815,0.5
5,339,0.6
6,1873,0.1
6,3028,0.2
6,3385,0.3
6,4790,0.4
6,5456,0.5
6,2788,0.6
6,2619,0.7
6,2091,0.8
6,879,0.9
7,1456,0.1
7,2519,0.2
7,4853,0.3
7,4526,0.4
7,3562,0.5
7,4038,0.6
7,2282,0.7
7,1639,0.8
7,686,0.9
7,303,1.0
7,385,1.3
8,466,0.0
8,1303,0.1
8,2618,0.2
8,1447,0.3
8,3147,0.4
8,2128,0.5
8,809,0.6
8,347,0.7
8,513,0.8
8,370,1.1
8,338,1.3
8,360,1.4
8,540,1.5
8,608,1.6
8,687,1.7
8,1145,1.8
8,315,1.9
9,317,0.0
9,547,0.1
9,1723,0.2
9,1091,0.3
9,1427,0.4
9,331,0.8
10,311,0.0
10,741,0.1
10,2234,0.2
10,1340,0.3
10,2577,0.4
10,4937,0.5
10,3393,0.6
10,2265,0.7
10,4742,0.8
10,2381,0.9
10,2176,1.0
10,1958,1.1
10,1418,1.2
10,1264,1.3
11,339,0.0
11,700,0.1
11,3062,0.2
11,4569,0.3
11,6049,0.4
11,7547,0.5
11,6625,0.6
11,3928,0.7
11,5115,0.8
11,3322,0.9
11,3430,1.0
11,1494,1.1
