OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00078837,E01015589,325,6,1,3,6,3,7,3,5,3,2,9,3,7,3,6,9,3,3,7,5,2,1,3,1,1,1,1,0,1,1,2,2,2,1,0,5,2,6,7,5,5,0,4,5,6,4,3,1,4,5,7,9,5,7,4,1,3,5,6,5,3,3,8,2,3,5,6,4,6,5,4,2,3,5,5,3,5,2,5,2,5,1,1,4,0,1,1,2,2,0,0
E00078842,E01015589,330,3,3,3,4,2,2,6,5,3,4,1,6,6,2,5,4,6,3,5,2,5,0,2,4,1,2,2,3,2,3,2,1,1,1,6,1,2,0,4,1,7,4,8,5,6,9,5,6,3,6,6,6,6,5,6,7,5,2,5,2,4,7,4,8,3,2,2,9,8,5,2,10,3,2,5,2,4,2,3,0,3,0,1,2,1,3,1,0,0,2,5
E00078843,E01015589,407,12,9,2,9,9,10,6,8,8,5,6,6,7,4,4,4,3,5,7,5,4,3,4,4,3,5,1,3,2,2,5,6,1,5,2,8,4,7,7,2,6,4,7,7,10,4,9,1,6,10,6,8,5,7,2,2,4,1,1,6,7,4,5,5,7,6,7,4,4,5,4,9,4,1,4,2,0,0,2,1,1,2,1,4,0,0,1,0,0,1,3
E00078844,E01015589,333,4,5,1,2,6,4,2,4,6,6,3,5,5,5,2,8,0,5,5,2,5,2,3,3,1,2,4,2,0,1,1,4,1,0,2,3,2,4,2,3,5,1,6,7,10,5,2,8,5,5,12,7,5,10,12,6,2,3,2,2,4,1,6,1,6,8,3,5,2,4,4,9,2,4,1,10,0,0,4,4,2,1,2,4,3,1,0,0,0,2,0
E00078845,E01015589,150,1,0,1,0,1,1,1,0,2,2,3,3,3,6,2,2,1,3,0,1,0,1,0,1,0,2,0,0,0,3,2,0,0,1,0,2,0,1,3,1,3,0,1,3,1,3,4,0,1,2,6,5,5,3,1,4,4,3,3,3,3,3,5,5,0,3,1,0,4,3,0,1,0,2,1,0,2,3,2,2,1,0,0,0,1,0,0,1,2,0,0
E00078846,E01015589,250,2,1,3,1,3,3,5,5,4,3,3,3,2,2,2,1,1,2,3,0,3,5,0,0,1,3,0,3,1,0,3,3,0,0,2,4,2,3,4,3,2,2,0,6,5,4,6,3,2,4,2,3,4,4,9,5,3,5,2,3,4,3,5,3,1,4,4,5,6,4,5,2,6,2,1,7,5,3,0,3,2,1,3,0,1,1,0,2,2,1,1
E00078838,E01015590,302,4,4,2,5,6,3,2,5,6,0,7,3,4,2,4,4,3,3,3,4,1,2,4,3,2,2,0,3,2,3,3,2,2,4,3,4,4,5,4,2,3,4,4,5,6,0,3,4,5,9,5,9,6,8,2,5,4,3,3,2,4,3,4,3,2,3,3,7,8,5,4,3,5,4,3,2,1,2,4,4,3,0,0,1,1,0,0,1,0,0,3
E00078839,E01015590,254,2,5,3,7,8,7,4,5,2,1,5,4,3,2,2,1,0,2,3,2,0,0,1,0,1,1,0,4,0,3,1,1,1,2,2,5,1,5,5,2,2,5,8,4,5,4,1,2,2,1,4,4,4,2,3,2,2,2,7,0,4,4,3,7,4,4,2,2,4,8,7,5,3,1,1,3,4,0,1,4,2,2,1,0,1,1,1,1,3,1,3
E00078840,E01015590,165,1,1,1,1,0,0,2,2,1,2,0,2,0,4,0,0,1,1,3,2,1,0,0,1,0,0,1,1,2,1,0,0,1,0,1,5,1,2,0,1,2,1,4,2,2,3,6,1,4,3,4,4,7,3,4,4,3,4,5,1,2,2,3,2,1,4,1,2,5,3,2,4,1,3,3,1,3,0,3,2,2,1,3,0,2,0,0,0,1,0,0
E00078841,E01015590,285,0,2,0,4,3,11,6,4,4,2,2,3,2,7,5,6,2,1,4,2,1,1,2,0,2,2,1,0,2,3,1,2,1,1,0,1,6,4,3,2,4,5,3,4,8,5,2,4,1,4,4,2,3,1,4,4,5,1,3,6,4,5,5,1,3,5,6,4,3,4,2,1,4,2,5,5,1,5,9,2,4,2,7,2,3,2,4,3,0,0,4
