OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00067942,E01013453,284,4,4,2,2,2,2,1,0,2,0,1,1,0,0,0,3,2,1,1,3,1,12,9,19,12,9,2,11,14,6,6,6,4,5,9,4,8,4,2,8,1,0,3,2,4,4,1,5,6,5,2,3,5,4,1,0,6,1,2,4,1,1,0,0,2,0,0,0,1,0,4,2,2,2,2,2,1,2,1,1,1,0,3,2,2,1,3,2,2,0,3
E00067946,E01013453,306,5,4,2,3,0,2,1,4,1,2,2,3,1,1,1,2,4,3,1,4,8,4,8,14,14,6,11,11,6,6,8,6,6,4,6,3,6,1,1,1,2,3,2,4,3,8,6,4,4,5,2,0,5,2,1,2,5,0,4,1,5,3,2,3,2,3,5,2,7,3,5,2,2,4,1,0,4,2,1,2,0,1,3,0,0,1,0,2,0,0,2
E00067947,E01013453,248,1,2,3,1,2,0,2,1,0,1,1,0,1,0,0,0,1,2,3,3,10,3,25,25,16,12,11,3,12,8,5,5,3,6,4,2,1,5,1,2,4,1,2,1,2,3,2,1,3,4,2,3,1,5,4,1,0,3,1,3,0,1,1,0,1,2,1,1,1,2,2,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
E00067950,E01013453,336,3,5,10,7,5,5,4,3,4,2,1,3,4,1,3,3,2,2,2,9,26,18,14,15,13,13,5,8,4,4,7,4,3,5,6,8,5,7,7,5,1,3,7,1,1,1,2,3,4,3,2,2,3,3,3,1,0,3,2,3,4,1,1,1,1,0,0,4,2,1,1,0,2,0,0,1,1,2,1,2,1,1,1,0,0,0,1,3,0,0,1
E00171188,E01013453,165,2,4,0,1,2,1,3,2,0,0,0,1,0,0,0,1,1,2,0,2,2,4,7,6,6,4,6,2,6,7,4,1,4,3,5,3,4,3,1,4,2,1,0,0,0,1,5,2,1,0,2,1,0,1,0,1,1,1,1,2,4,0,1,0,0,3,2,3,2,1,0,0,3,2,1,1,1,2,1,1,0,2,1,0,3,0,1,0,1,0,3
E00171189,E01013453,392,4,3,6,5,9,4,4,4,4,4,1,3,4,0,0,6,3,2,1,4,37,32,43,27,24,7,13,13,7,5,11,7,4,3,5,8,2,5,9,6,3,4,2,1,1,3,3,3,3,3,1,0,1,3,3,3,3,0,0,1,2,2,1,2,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E00171190,E01013453,290,3,2,8,3,4,4,2,2,2,2,2,2,0,2,1,0,3,1,3,6,26,7,29,16,21,9,4,7,8,13,10,6,4,4,2,4,5,5,5,4,2,3,0,2,1,3,0,2,0,2,3,5,3,2,1,1,1,2,3,2,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
E00171191,E01013453,110,3,3,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,3,3,1,4,3,5,6,6,2,5,3,6,4,5,1,7,4,2,2,2,5,1,0,0,1,1,0,0,3,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00171194,E01013453,287,8,5,2,5,1,0,1,3,0,1,3,1,1,1,2,1,4,1,5,3,14,15,17,9,20,11,4,5,6,8,6,7,4,8,7,3,1,3,3,2,5,5,3,6,3,6,4,2,1,3,5,6,0,1,2,1,4,4,1,0,3,1,1,2,0,2,0,0,4,0,1,0,2,2,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
E00067948,E01013454,736,6,3,9,7,3,4,8,2,4,2,5,2,8,6,2,5,7,3,25,139,74,42,40,23,25,31,15,10,1,10,4,6,4,9,5,4,8,3,3,4,7,5,6,3,7,6,7,11,5,5,7,5,1,1,2,5,7,5,3,1,4,2,4,2,6,5,3,3,5,1,1,0,0,0,1,2,0,1,0,2,5,2,3,1,1,0,0,1,1,0,10
E00067952,E01013454,270,10,7,3,6,8,4,5,5,5,4,4,6,1,3,3,1,0,4,2,5,4,3,3,4,3,5,8,3,5,0,7,6,7,5,7,4,2,2,4,1,5,5,5,0,6,2,2,1,2,3,1,3,1,4,1,2,3,3,3,4,5,5,2,4,1,3,3,2,3,2,1,2,1,2,1,1,2,1,0,1,0,3,0,0,0,0,0,0,0,0,0
E00067954,E01013454,305,6,2,14,5,5,7,7,2,8,9,6,6,3,5,3,2,4,0,1,2,3,2,6,4,5,11,8,11,8,8,7,6,8,6,7,4,9,5,4,2,3,2,5,5,2,2,3,2,1,0,1,9,1,0,2,2,5,3,1,0,1,2,1,2,1,3,3,2,0,1,1,3,1,2,1,0,0,0,1,0,1,0,0,4,0,0,1,1,0,0,3
E00067957,E01013454,258,0,6,4,2,5,2,4,4,3,3,2,1,3,4,3,4,7,5,2,6,2,4,4,2,5,3,2,6,2,4,5,6,6,9,6,5,3,0,2,1,5,5,5,3,3,5,6,5,5,5,2,4,4,5,1,3,2,2,2,3,2,3,2,2,0,1,1,3,4,1,4,5,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,4
E00067929,E01013455,374,6,4,1,6,1,10,7,3,5,5,3,4,2,5,2,4,5,5,7,1,6,6,8,7,10,4,13,2,7,8,6,1,4,6,4,3,4,1,4,5,5,8,3,5,5,5,5,5,7,2,2,2,7,14,4,8,5,6,1,4,2,3,2,3,4,4,0,4,3,1,3,2,6,6,2,3,0,1,1,0,1,2,2,3,1,3,0,2,4,1,7
