OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00041378,E01008162,303,2,4,1,3,3,0,3,1,4,5,3,2,3,1,1,2,3,3,1,0,7,13,5,0,11,6,5,6,4,7,7,5,5,10,4,2,1,5,4,5,4,5,6,6,4,5,5,7,9,1,3,4,7,5,6,6,8,4,5,1,2,4,2,1,1,4,3,3,0,2,1,0,1,3,0,2,2,3,2,2,1,3,2,0,0,0,0,0,0,0,1
E00041381,E01008162,259,1,2,0,0,2,3,3,3,0,5,4,3,0,5,3,2,3,1,3,2,4,4,4,6,4,3,1,3,6,2,3,5,2,6,4,4,8,2,2,3,3,5,5,3,2,5,3,1,5,8,2,2,9,6,3,4,2,7,3,3,4,7,2,3,4,8,5,3,3,4,1,3,0,0,1,3,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0
E00041382,E01008162,189,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,2,2,4,7,3,3,5,10,0,3,5,6,6,3,2,1,5,1,2,2,2,0,2,3,2,2,2,3,3,5,4,2,3,5,1,4,3,6,4,1,1,4,5,1,4,1,4,3,2,3,1,2,2,2,0,1,2,0,3,2,0,1,2,2,1,0,1,0,1,1
E00041383,E01008162,363,4,3,3,2,2,1,1,4,9,7,2,3,4,3,4,4,1,4,5,3,13,2,9,9,16,6,4,12,3,6,4,7,6,5,6,5,3,1,5,7,4,2,3,6,4,7,3,4,11,4,6,3,8,6,7,8,3,3,2,1,1,3,2,2,2,4,3,4,5,3,4,8,3,1,1,2,4,3,2,1,3,2,4,0,0,0,1,0,0,1,1
E00041386,E01008162,415,10,7,6,8,3,3,2,1,0,0,0,1,1,0,1,1,1,0,0,1,5,5,9,7,33,21,27,28,26,25,33,23,20,15,13,11,5,5,12,0,4,3,2,4,3,2,2,2,2,1,1,1,1,1,4,5,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00166172,E01008162,266,1,2,7,1,3,0,3,1,5,3,1,2,1,2,1,1,0,3,0,0,1,0,5,11,20,8,13,15,19,22,8,12,13,8,13,10,6,2,0,2,4,5,3,2,3,2,0,1,2,0,0,0,1,4,1,2,1,0,1,0,1,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
E00166174,E01008162,188,3,3,1,1,2,0,0,1,0,0,1,0,3,0,1,0,0,0,1,0,0,0,14,6,9,8,5,9,6,9,3,10,8,5,2,3,4,2,8,3,4,3,3,3,1,1,4,3,2,0,0,2,3,3,0,1,1,0,2,5,0,0,1,0,2,0,0,1,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2
E00166175,E01008162,234,5,2,3,1,0,2,1,0,2,2,1,2,1,1,1,0,0,1,0,2,2,6,3,13,14,13,12,14,11,21,7,8,15,11,5,4,3,6,2,4,1,1,4,3,1,2,1,3,3,2,0,1,1,2,2,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00166187,E01008162,241,2,2,4,5,5,2,4,4,0,3,1,3,1,0,1,1,2,0,2,2,6,1,5,6,11,4,10,16,13,19,11,7,4,4,6,4,4,6,7,3,7,3,3,1,4,5,0,2,1,3,1,1,3,3,1,4,0,1,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E00166188,E01008162,178,4,2,3,5,2,3,1,2,1,2,2,0,3,0,0,0,2,1,3,1,2,3,7,2,1,2,5,7,1,6,6,4,1,4,8,3,1,1,1,2,2,0,1,1,2,3,0,2,2,2,2,2,3,1,4,1,4,3,1,2,2,5,3,1,4,2,1,2,1,0,0,1,1,0,3,2,1,0,2,2,0,0,0,1,0,1,0,0,0,0,1
