OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00072563,E01014370,220,2,1,1,0,2,0,0,1,2,3,0,1,0,1,1,1,1,1,1,2,2,6,16,8,12,8,10,3,5,3,1,2,4,9,2,3,1,3,3,1,2,3,1,1,1,2,3,5,1,3,1,1,3,1,1,5,1,1,2,3,2,4,2,2,3,3,2,2,4,3,3,2,1,2,1,1,3,3,1,0,2,1,3,0,1,1,0,0,1,0,3
E00072568,E01014370,237,1,2,2,1,1,0,3,2,0,0,2,0,0,2,0,1,1,2,1,1,5,6,11,12,6,3,4,3,3,4,2,3,2,1,3,3,3,1,1,1,2,1,1,2,2,2,5,3,2,2,3,3,0,1,5,0,0,1,6,2,2,2,2,1,1,1,4,4,5,1,3,5,2,3,3,2,0,3,5,4,4,2,4,0,6,3,4,1,1,3,14
E00072569,E01014370,217,0,1,2,1,0,0,0,0,1,1,0,1,0,1,3,2,2,0,0,5,4,19,11,15,3,8,5,4,6,4,4,4,5,8,3,3,4,4,3,3,3,3,3,4,5,1,6,2,4,4,3,3,3,2,3,1,1,1,3,0,1,4,1,3,2,2,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00072572,E01014370,186,0,0,0,0,0,0,4,0,0,0,0,0,2,1,2,1,0,2,0,1,4,14,13,16,8,11,10,7,5,6,3,6,3,5,2,3,6,5,0,2,3,2,5,3,1,1,2,1,1,1,1,0,3,2,0,2,1,1,1,1,2,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
E00072573,E01014370,342,2,0,2,2,2,2,5,1,2,0,1,0,1,0,1,3,2,0,0,0,6,17,16,14,17,8,15,13,13,4,7,14,11,9,8,5,3,6,4,1,3,1,4,2,5,4,6,4,5,5,4,4,4,2,4,5,5,5,4,5,5,2,6,1,2,3,2,3,2,0,4,2,2,0,1,2,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0
E00072574,E01014370,418,1,1,0,1,0,0,2,2,0,0,0,1,0,0,1,0,4,1,3,9,40,38,39,45,26,16,8,9,4,9,8,6,5,5,7,3,3,1,2,1,2,3,5,2,2,3,1,1,4,1,1,2,3,0,4,2,6,2,2,1,1,1,2,5,2,0,1,2,0,2,4,1,2,3,1,1,3,2,5,3,4,0,6,0,4,0,0,2,2,3,8
E00072576,E01014370,161,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,11,22,22,12,9,4,3,5,2,1,1,1,3,2,2,1,0,2,1,2,1,0,0,0,0,1,0,1,0,1,0,1,0,2,2,1,0,1,0,1,0,0,0,2,1,0,0,1,1,2,1,2,1,1,0,0,3,0,1,2,1,2,0,1,1,2,0,3,1,2,6
E00072578,E01014370,220,0,1,0,0,2,0,2,2,2,0,1,3,3,0,1,1,0,3,0,1,1,1,3,4,2,1,1,0,0,0,0,1,1,0,1,2,0,1,0,1,0,0,1,1,3,1,1,2,1,3,2,1,3,1,2,2,2,1,2,1,5,1,3,5,4,2,2,3,5,5,3,5,2,2,3,1,4,3,5,5,8,3,2,3,4,3,6,2,7,5,37
E00072564,E01014371,229,2,0,0,0,2,0,2,1,1,2,1,0,2,0,1,1,0,2,0,1,4,5,7,9,6,0,4,5,4,3,1,4,4,2,2,1,2,1,0,3,1,1,4,1,1,5,4,3,1,2,3,4,0,1,3,3,3,1,2,0,3,1,1,2,2,3,4,5,3,1,2,2,3,1,3,1,1,5,2,6,7,6,1,1,2,3,5,4,5,5,11
E00072565,E01014371,187,0,0,0,0,0,1,0,1,1,1,2,1,0,0,1,0,1,1,0,1,1,4,3,15,11,5,9,7,8,2,4,2,3,5,4,2,1,2,1,2,3,2,0,2,3,5,5,1,2,3,2,4,2,2,1,7,3,2,3,0,2,3,1,0,3,3,1,2,1,2,1,0,0,1,1,1,2,0,1,0,1,2,1,1,0,2,0,0,0,1,0
