OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00045110,E01008881,311,2,6,4,6,2,4,6,5,4,8,5,7,6,3,1,5,4,4,2,3,1,5,2,3,1,3,4,4,6,3,6,3,3,4,5,3,3,3,4,2,2,3,3,4,3,5,4,2,2,6,2,4,7,2,3,5,4,4,4,2,3,3,1,7,4,0,4,3,3,5,4,5,2,1,1,1,2,3,0,2,5,2,3,3,5,1,2,1,3,1,5
E00045113,E01008881,353,6,4,9,6,6,6,9,4,6,5,7,5,5,6,11,3,8,6,2,7,4,5,6,6,5,3,9,9,3,10,3,3,4,5,6,6,5,6,4,4,9,2,4,6,1,4,4,5,4,6,4,5,4,5,7,4,3,6,4,1,3,1,3,2,4,3,5,3,0,1,1,0,2,0,1,0,1,0,1,2,1,0,0,1,1,0,0,0,0,0,2
E00045116,E01008881,430,10,8,12,2,10,7,9,14,9,12,9,6,9,10,7,10,8,5,9,9,7,7,1,3,4,11,8,7,2,4,8,3,2,6,4,6,4,5,6,8,6,6,4,9,7,3,4,4,3,7,7,7,1,3,3,6,5,4,4,4,8,3,2,4,0,0,4,2,1,1,0,2,0,1,1,0,0,4,6,0,0,0,1,2,1,1,0,3,1,1,3
E00045118,E01008881,372,5,4,2,3,2,4,3,8,5,6,8,5,6,3,2,10,7,9,5,13,2,8,3,7,5,5,5,1,5,1,4,4,4,6,5,3,5,2,3,2,6,2,2,5,4,4,3,6,10,4,3,7,7,7,9,7,1,3,6,7,7,5,5,3,2,1,2,2,5,5,2,2,0,2,4,2,2,1,3,3,1,2,4,6,1,2,1,2,1,0,1
E00045123,E01008881,191,5,4,5,5,1,2,3,3,1,0,2,1,1,1,0,0,3,1,1,2,4,2,2,2,4,4,3,3,8,3,4,3,4,3,2,3,2,1,0,0,1,2,2,5,2,1,1,3,2,3,4,3,3,6,2,1,2,1,1,1,2,0,1,1,1,2,0,2,5,4,3,0,1,1,1,2,1,1,2,3,1,1,0,0,2,0,0,7,0,3,0
E00045114,E01008882,335,5,10,5,7,2,5,10,8,5,4,6,5,3,7,6,9,3,7,6,5,5,2,6,5,2,1,4,3,6,2,4,9,5,8,6,5,8,3,3,2,9,2,6,5,4,5,6,4,3,3,2,5,5,6,5,1,4,2,3,2,1,2,1,1,2,3,2,3,6,2,2,0,3,1,1,2,3,1,1,3,0,2,0,1,2,0,0,0,0,1,0
E00045119,E01008882,379,6,13,8,12,11,8,9,4,10,4,3,5,5,8,6,9,4,7,6,2,9,5,6,3,6,5,3,4,7,6,3,5,5,5,4,10,7,11,5,1,5,4,3,5,3,6,2,4,2,4,5,7,8,7,4,6,4,5,3,1,2,2,5,1,1,3,3,1,0,3,3,1,1,1,2,1,2,1,1,1,1,1,0,2,0,2,0,0,0,0,0
E00045120,E01008882,352,6,5,8,1,5,8,8,10,13,11,8,6,4,7,6,4,7,4,5,3,7,1,2,6,4,4,4,2,7,7,6,8,11,5,4,7,3,6,4,2,9,6,4,1,5,7,1,2,6,2,1,4,2,1,9,4,3,6,4,2,2,3,3,2,3,4,2,0,0,1,0,2,1,1,1,2,3,1,0,1,0,2,0,3,1,0,1,1,2,0,2
E00045121,E01008882,338,7,6,5,5,4,9,5,4,3,6,5,5,6,6,3,6,6,4,6,1,3,2,8,5,3,3,4,3,3,2,5,5,3,6,8,5,6,9,5,3,0,3,7,6,4,4,0,3,2,6,5,6,10,7,5,3,2,4,3,4,1,3,4,3,2,3,3,0,4,3,2,7,2,1,0,6,2,1,0,1,3,0,0,4,0,2,0,0,1,0,3
E00045124,E01008882,376,8,5,5,9,11,9,4,10,9,11,5,5,6,3,8,4,2,6,3,8,1,7,6,3,5,7,7,6,8,7,2,6,5,4,8,7,3,6,5,2,4,7,8,5,3,0,4,4,5,5,4,4,7,8,3,3,6,4,3,2,1,3,3,4,1,3,1,2,3,0,4,3,0,2,2,3,0,1,2,3,0,4,1,1,2,0,0,0,1,0,1
