OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00037088,E01007317,377,4,10,5,6,12,11,12,3,4,5,9,9,6,7,6,2,3,8,7,8,7,3,8,6,3,4,4,5,8,7,6,8,8,5,5,9,4,4,2,4,3,0,4,7,7,1,3,5,7,5,3,3,6,4,3,6,4,6,2,3,2,1,2,2,3,6,3,3,3,2,1,3,2,0,0,1,2,2,0,0,3,3,0,1,1,1,0,0,0,0,1
E00037089,E01007317,315,6,1,4,4,2,4,4,2,7,3,4,3,3,3,5,2,5,6,0,2,2,5,2,4,2,0,6,5,3,4,4,3,4,3,1,3,2,2,0,3,6,2,3,1,4,4,4,5,3,6,3,5,6,3,4,2,5,1,2,2,2,8,5,3,7,9,9,7,5,3,6,7,7,5,4,7,3,1,1,2,6,3,0,2,0,0,0,0,1,1,2
E00037090,E01007317,272,2,1,5,4,0,3,3,5,1,5,5,2,2,5,3,4,4,4,4,4,3,2,5,4,2,2,1,1,6,4,1,1,1,3,2,1,8,3,2,5,7,4,6,4,2,1,3,5,4,2,6,6,4,4,5,2,4,5,5,5,5,1,7,3,5,1,6,5,5,3,1,1,7,2,4,3,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0
E00037091,E01007317,243,2,1,1,3,3,0,1,0,2,1,3,1,1,1,1,3,2,4,1,0,2,0,2,1,1,3,2,2,1,2,3,3,4,3,5,1,1,2,2,1,1,1,1,3,4,2,3,2,3,2,5,6,4,4,5,1,1,6,3,3,6,2,6,6,5,2,3,3,9,5,4,9,7,3,3,0,4,3,5,2,2,7,5,4,5,0,0,0,0,0,1
E00037112,E01007317,308,2,2,9,4,7,4,7,2,5,5,4,8,4,3,4,5,2,3,3,5,1,3,5,2,4,2,1,7,6,1,6,3,3,5,5,2,2,3,4,2,2,3,2,2,3,7,3,2,4,6,10,4,7,2,2,3,4,3,4,5,4,6,2,7,5,3,3,2,5,2,4,6,1,2,0,2,4,0,1,2,3,3,2,1,2,1,0,1,0,1,0
E00037099,E01007318,452,3,10,6,13,9,8,8,8,8,7,2,8,5,8,2,3,3,3,2,1,2,5,4,9,4,8,11,11,14,15,8,10,10,4,18,13,11,13,6,6,8,5,6,8,8,10,8,8,5,7,9,4,4,6,6,5,2,7,2,2,2,1,4,1,2,1,5,0,5,2,1,0,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
E00037109,E01007318,381,3,2,1,3,6,0,13,2,5,5,6,5,6,3,2,2,6,9,6,4,2,2,3,4,7,6,4,6,4,3,9,3,4,5,0,3,2,3,3,6,3,6,3,6,7,8,6,5,3,10,8,8,9,5,6,4,5,5,4,8,1,5,2,2,3,6,6,4,5,4,3,4,3,4,4,1,3,2,2,2,2,1,1,1,3,2,1,3,3,2,9
E00037110,E01007318,467,5,5,10,11,8,8,6,10,12,5,9,7,7,5,4,8,5,8,3,5,6,1,8,4,6,11,5,7,10,8,5,10,11,7,7,10,11,5,7,9,5,6,2,5,6,5,8,7,1,4,8,5,2,8,5,6,10,8,9,2,5,1,1,5,2,3,4,4,2,2,5,4,1,3,1,2,1,1,0,3,2,6,1,2,1,2,0,0,0,1,1
E00037113,E01007318,326,4,4,4,3,5,6,3,4,3,6,9,1,3,3,3,2,1,2,4,2,0,4,4,0,3,4,1,0,4,4,4,8,3,4,1,7,2,2,1,4,3,2,2,5,7,2,3,2,5,7,1,6,3,5,3,2,2,8,3,2,5,3,5,2,5,5,6,4,6,8,2,5,7,3,6,4,3,6,3,5,7,4,2,2,2,1,2,2,2,1,3
E00037092,E01007319,271,4,2,1,2,1,1,3,2,2,0,5,3,3,4,0,4,3,2,1,1,2,3,0,3,4,1,4,1,4,2,1,2,1,4,1,2,1,1,0,1,1,0,0,2,9,8,12,7,6,2,5,4,5,3,3,2,2,4,5,3,10,7,5,6,1,3,6,3,6,4,6,3,6,4,3,4,3,3,3,3,3,2,3,3,1,2,2,1,0,0,0
E00037103,E01007319,272,9,1,5,3,1,5,1,3,1,2,7,4,4,2,3,3,3,2,4,3,1,1,2,2,1,4,1,1,2,3,3,2,1,1,3,5,6,1,2,4,3,0,4,10,5,5,5,6,2,6,1,11,2,2,2,4,2,3,3,5,2,5,4,8,5,3,1,4,3,3,1,2,4,0,5,6,2,3,7,0,2,2,3,1,0,2,0,0,0,0,1
E00037104,E01007319,300,1,2,7,1,4,2,2,3,1,3,4,2,5,6,1,3,3,3,5,1,6,4,4,2,1,1,3,3,1,6,4,0,3,4,2,1,2,1,3,3,5,5,3,4,4,5,6,10,8,4,7,2,11,7,9,5,6,5,4,2,3,7,2,1,3,2,2,3,2,6,5,3,2,2,4,2,1,7,0,5,5,2,2,2,0,1,0,0,0,0,1
E00037108,E01007319,324,5,3,3,2,2,1,2,4,1,6,1,1,2,0,2,1,2,4,3,3,3,7,6,3,5,1,3,3,1,3,4,1,6,2,3,4,1,5,5,4,3,2,7,5,3,3,4,5,1,7,4,4,5,3,6,5,6,2,1,5,3,2,4,4,2,7,10,10,11,10,5,2,7,3,4,3,8,6,2,4,2,5,6,1,1,0,1,1,0,1,0
E00037111,E01007319,263,0,1,2,1,0,0,4,3,1,1,2,4,1,3,4,1,1,0,4,3,4,4,7,7,1,2,1,4,3,1,0,2,1,0,7,3,3,1,1,1,4,3,3,3,6,5,2,5,4,8,2,6,4,6,5,4,3,1,7,2,3,3,4,2,4,3,8,9,2,2,6,5,10,7,4,1,2,2,5,2,2,0,0,1,1,0,0,0,0,2,1
E00037100,E01007320,264,3,10,2,4,3,2,3,3,2,4,5,3,1,1,3,0,0,3,6,2,5,4,4,2,6,6,7,7,9,9,4,11,5,4,1,1,8,4,2,0,4,4,2,1,3,1,4,4,5,2,1,1,3,7,6,4,6,2,1,0,3,5,2,1,3,6,3,3,3,1,0,2,2,2,3,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
E00037101,E01007320,354,2,7,5,2,1,6,3,3,5,4,1,0,2,2,1,2,4,2,7,3,9,9,6,5,3,6,4,9,4,6,7,5,7,0,1,6,2,7,8,3,3,4,8,4,4,8,6,10,8,10,10,8,12,3,6,4,5,0,2,7,2,4,4,6,5,3,0,1,4,4,3,7,1,2,2,1,2,0,3,1,0,1,0,1,1,0,1,0,1,0,3
E00037105,E01007320,425,4,7,10,6,6,7,11,6,3,9,11,4,7,6,8,7,7,7,5,3,3,2,4,8,11,7,6,6,7,6,4,8,5,4,6,11,3,5,3,4,5,6,4,8,3,3,7,4,5,4,9,6,6,6,6,3,4,5,7,2,3,5,4,3,3,4,5,3,1,3,5,1,1,5,4,3,1,2,0,1,3,4,3,0,0,1,2,0,3,2,0
E00037106,E01007320,486,12,14,18,12,16,13,20,11,12,5,5,6,5,10,5,5,4,3,3,6,5,8,6,8,8,15,9,18,15,10,11,12,16,11,9,8,5,7,7,4,5,2,9,11,7,2,5,6,3,5,5,3,3,3,2,0,3,4,1,2,0,1,0,0,2,2,2,2,2,5,0,1,4,0,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
E00037107,E01007320,284,0,0,2,2,1,1,2,2,1,0,0,2,4,2,4,2,2,4,4,3,7,4,3,1,5,6,2,6,3,2,7,4,2,4,1,2,2,1,1,1,2,2,7,4,5,5,5,4,5,3,7,9,3,5,1,6,3,7,3,5,7,2,3,6,2,4,2,4,5,1,8,4,2,3,2,6,4,3,1,2,3,1,2,2,1,5,0,1,0,3,2
E00037085,E01007321,241,0,0,0,2,0,1,1,0,1,0,1,1,0,1,2,4,2,2,2,4,2,3,1,0,3,3,0,2,3,1,1,0,0,1,2,1,1,0,1,0,0,1,1,0,3,1,4,5,5,5,2,6,7,4,7,6,7,0,3,2,5,7,5,8,7,0,5,11,5,5,8,8,4,3,2,1,8,4,2,4,3,4,3,2,1,2,0,0,1,1,4
E00037086,E01007321,321,3,1,2,4,4,1,3,2,4,2,4,4,2,4,7,4,3,4,1,2,4,4,4,1,0,0,2,1,1,3,1,3,1,5,5,3,1,1,2,5,5,2,4,6,6,6,3,8,6,3,8,2,2,2,5,5,6,5,5,2,1,3,7,5,5,6,7,8,9,6,11,9,5,2,2,5,2,7,2,1,4,0,4,3,1,3,1,1,0,1,1
E00037087,E01007321,311,2,3,1,0,3,1,2,3,2,3,1,2,1,4,3,2,4,4,3,2,7,2,3,3,2,5,1,3,3,2,0,2,0,2,6,1,2,0,2,1,4,3,6,2,7,5,6,5,6,4,7,6,12,8,6,5,8,7,5,6,12,4,6,7,3,4,5,7,5,6,5,4,2,5,3,1,3,5,0,1,1,3,3,1,1,0,1,0,0,1,1
E00037096,E01007321,268,1,0,0,1,1,1,0,2,1,1,0,1,0,0,3,2,3,2,2,1,1,2,3,1,1,4,2,2,4,0,2,0,2,0,4,0,1,3,1,0,1,4,0,2,5,2,0,2,0,3,5,4,5,4,10,6,3,3,6,5,4,4,5,4,4,10,10,11,5,4,17,6,3,6,6,3,5,4,6,3,1,2,2,6,5,0,2,1,0,2,2
E00037097,E01007321,239,0,5,0,4,3,3,4,5,3,2,3,0,3,1,0,0,2,3,2,4,1,5,2,5,2,7,1,2,5,3,3,2,4,2,1,1,8,3,3,1,1,3,4,1,6,2,5,6,6,3,2,3,3,2,4,2,6,2,4,2,4,2,2,2,0,1,2,2,0,2,2,5,1,1,2,3,9,3,2,2,1,1,4,2,4,1,1,0,1,0,2
E00037093,E01007322,338,6,12,7,5,6,4,3,2,4,2,3,4,3,5,2,7,4,2,2,2,4,5,6,2,7,2,7,11,4,7,2,3,4,4,9,10,5,2,6,4,2,2,2,4,4,6,4,6,2,5,5,1,5,5,5,6,1,3,4,3,3,0,6,2,1,1,0,1,2,2,3,2,1,1,1,1,1,2,4,4,1,2,3,1,2,4,2,5,2,1,13
E00037094,E01007322,474,5,11,3,4,4,6,4,6,3,3,4,7,4,3,5,1,5,3,5,7,3,8,1,3,6,8,14,7,6,5,8,6,8,15,5,10,5,7,16,7,4,7,10,9,8,10,12,8,7,12,5,13,9,4,7,5,7,4,4,5,4,4,5,9,7,5,3,5,5,5,2,2,2,4,1,2,0,2,1,3,1,2,2,1,1,1,0,0,0,0,4
E00037098,E01007322,268,5,3,1,6,1,3,0,6,0,4,1,3,0,4,0,4,3,2,5,2,8,5,6,8,14,1,5,4,0,5,2,1,3,0,3,9,2,3,7,5,4,1,3,6,4,3,2,1,0,4,5,4,4,3,9,7,3,2,4,4,3,2,4,3,1,1,1,1,4,2,0,4,1,2,2,4,0,1,1,0,3,0,2,1,1,2,2,1,0,0,2
E00037102,E01007322,444,5,8,7,13,14,10,7,3,8,2,7,1,6,4,1,1,2,4,3,3,2,5,5,7,12,6,3,6,13,12,7,8,13,7,3,8,10,8,6,7,7,3,6,4,5,4,1,9,5,5,4,11,8,5,9,3,6,4,4,3,2,2,5,2,5,5,5,4,2,6,4,3,2,1,2,1,1,3,3,1,3,3,1,3,1,2,1,0,0,0,8
E00168689,E01007322,540,9,11,8,10,13,15,9,9,9,7,12,5,8,4,2,6,2,3,4,4,7,7,12,13,8,9,17,9,11,15,9,13,15,10,9,14,10,10,7,10,12,7,11,6,8,9,6,7,6,6,11,8,2,5,15,2,4,5,2,3,6,0,3,4,0,2,1,0,1,1,2,1,1,3,1,1,2,0,2,3,0,0,1,0,2,1,0,0,0,0,2
E00168716,E01007322,238,7,4,1,4,0,2,2,4,5,3,3,2,3,6,6,8,6,7,3,1,3,7,5,6,2,9,1,2,3,5,0,0,1,0,3,4,4,3,2,3,3,6,3,4,4,8,8,3,2,3,8,0,4,6,2,1,1,1,0,1,0,1,1,1,3,2,0,0,1,0,0,4,1,1,1,2,0,1,1,0,2,0,0,0,2,0,1,1,2,0,2
E00037114,E01007323,366,10,10,8,5,8,8,7,2,4,8,12,4,7,6,4,8,7,1,6,1,2,5,6,4,11,8,6,7,8,10,6,1,8,4,5,7,7,5,10,7,4,5,7,5,11,6,8,6,4,4,2,4,3,2,2,1,2,1,3,3,2,5,2,1,2,5,2,1,3,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
E00037120,E01007323,286,5,3,7,1,3,4,6,3,0,2,9,6,7,3,4,2,10,1,4,3,2,2,4,3,2,4,1,2,3,4,3,8,11,6,7,8,1,8,6,5,2,6,4,3,4,5,9,4,3,6,1,5,2,2,4,4,3,2,0,1,1,2,4,5,2,2,4,1,1,4,3,2,1,0,2,3,0,0,1,0,0,0,2,0,0,1,0,0,0,1,1
E00037121,E01007323,274,3,7,2,4,3,4,4,2,4,3,6,4,5,1,3,5,7,6,4,2,5,3,4,4,9,5,3,6,4,5,3,5,4,2,5,6,0,1,2,4,5,3,2,3,3,8,5,6,5,6,6,4,5,3,3,3,4,0,2,2,4,3,1,1,3,5,0,3,2,1,2,2,0,1,0,0,4,1,0,0,1,2,0,0,0,1,0,0,0,0,0
E00037122,E01007323,305,4,5,3,5,7,7,4,1,1,2,4,2,3,4,2,3,5,5,12,9,2,8,3,5,7,2,5,10,6,6,5,3,4,9,3,3,2,1,3,6,4,6,6,4,8,6,3,4,4,7,7,2,5,2,4,1,5,2,3,3,2,0,2,4,2,3,2,2,2,3,1,1,2,2,1,1,0,1,0,0,1,0,0,2,2,1,1,0,0,0,0
E00037126,E01007323,327,4,7,8,5,5,3,4,5,1,2,6,3,3,6,4,3,2,5,4,7,8,5,8,7,5,1,7,9,6,4,2,8,6,3,3,3,0,3,0,2,3,6,0,8,3,7,3,7,6,3,6,6,4,7,5,3,2,6,5,5,1,3,1,1,3,3,5,0,1,1,5,1,1,1,0,2,2,5,2,0,1,2,2,3,3,1,0,2,0,1,2
E00037125,E01007324,294,2,6,3,4,5,3,6,6,1,0,4,8,4,2,3,3,3,3,2,4,7,2,4,2,4,5,2,4,5,4,0,2,1,3,2,3,3,5,2,2,3,7,0,2,6,6,5,3,4,4,3,3,4,6,6,5,2,7,4,5,4,10,5,5,0,4,1,3,5,6,4,2,2,2,2,1,3,0,2,0,0,0,1,1,1,2,0,1,0,5,3
E00037130,E01007324,231,3,2,2,1,2,1,3,1,3,1,5,4,2,2,4,1,3,6,3,1,4,3,3,1,3,3,4,4,4,2,5,4,4,6,1,3,3,2,0,2,3,3,3,7,4,2,1,3,2,3,4,1,6,4,3,2,3,1,1,3,6,1,2,4,1,2,6,6,0,2,3,2,1,2,1,0,2,6,1,1,1,1,1,1,1,2,2,0,1,1,1
E00037131,E01007324,311,9,4,5,5,2,5,4,5,1,6,4,11,2,2,6,4,5,4,1,5,4,6,3,5,2,3,4,9,4,7,6,2,4,6,6,2,3,6,1,3,0,5,5,4,3,3,3,5,2,3,8,5,3,5,3,3,6,2,1,9,2,3,4,2,3,4,1,2,1,4,5,0,3,1,2,1,1,2,1,2,1,2,1,1,1,3,0,4,0,0,0
