OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00072563,E01014370,201,1,2,2,1,0,0,0,0,1,2,1,0,1,0,1,2,1,1,2,2,5,8,6,13,10,5,5,3,3,3,5,1,3,2,4,4,3,2,3,3,2,1,2,0,0,1,4,3,5,1,3,0,0,3,1,0,3,3,0,2,2,2,3,0,2,3,2,1,3,5,3,4,4,1,2,1,1,2,2,1,0,2,2,4,0,1,0,1,0,1,1
E00072568,E01014370,213,0,0,2,0,1,2,0,4,2,0,0,0,0,0,1,0,1,2,0,6,6,6,9,8,5,3,3,5,2,4,3,5,2,2,0,1,3,2,0,1,0,1,1,2,1,2,2,4,2,2,0,3,2,0,1,3,0,0,0,5,2,2,2,2,1,1,1,4,4,6,1,4,4,3,2,3,2,2,3,5,4,3,2,2,2,6,3,3,1,2,9
E00072569,E01014370,210,1,0,0,2,1,0,0,0,0,1,1,0,0,0,1,2,0,3,1,0,5,8,17,8,14,7,8,8,6,6,4,3,4,3,12,4,2,3,3,2,2,3,4,1,1,5,1,6,0,2,4,1,4,2,1,2,0,2,2,4,0,3,3,0,2,2,1,0,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E00072572,E01014370,186,2,0,0,0,1,0,2,3,3,2,2,1,0,1,1,1,1,0,0,0,6,8,19,19,11,5,9,8,5,2,6,5,2,3,4,2,3,4,3,0,1,1,0,5,4,0,1,1,1,1,1,2,0,2,2,0,1,0,1,1,1,1,1,0,2,0,1,1,2,0,0,0,2,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
E00072573,E01014370,304,3,1,0,2,0,3,1,3,1,0,0,1,0,1,0,0,2,0,0,0,4,8,19,18,12,10,7,14,11,15,5,7,12,8,6,5,3,2,6,2,0,2,1,6,2,3,3,5,2,6,1,4,5,5,0,3,6,4,5,4,5,3,3,5,0,2,4,1,2,2,0,4,2,1,0,2,0,1,3,1,0,0,1,1,0,1,0,1,0,0,0
E00072574,E01014370,464,1,1,2,0,0,0,2,2,2,1,2,0,1,0,0,2,0,3,2,10,16,39,56,76,52,18,14,7,8,4,6,8,3,5,2,6,5,2,0,3,1,1,2,2,2,1,2,2,3,4,2,0,1,3,0,4,2,5,2,2,0,1,1,4,4,2,0,2,2,1,1,4,2,0,2,1,2,3,2,4,4,2,0,5,1,3,0,0,1,1,7
E00072576,E01014370,154,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,26,15,27,14,6,3,2,4,2,2,0,1,1,4,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,1,0,1,0,1,0,0,0,2,0,0,0,1,0,2,1,1,0,1,0,0,2,0,1,0,2,1,0,1,0,1,0,3,1,7
E00072578,E01014370,234,1,0,1,0,0,1,0,2,2,2,0,1,3,3,0,1,1,0,2,1,4,3,3,1,2,2,5,1,1,0,0,0,1,0,1,1,2,0,3,1,1,0,0,2,2,1,1,2,0,1,3,2,1,3,1,2,3,1,2,2,1,8,1,2,4,3,2,3,3,5,7,5,3,4,3,3,1,3,4,6,4,6,4,2,2,3,2,9,2,8,39
E00072564,E01014371,149,0,1,0,0,0,1,0,1,1,1,2,2,0,0,0,1,0,0,1,0,2,4,8,4,6,1,1,5,0,3,5,2,2,2,0,1,0,1,2,0,2,1,1,1,0,0,4,2,2,1,2,2,4,1,1,0,3,3,1,1,0,3,1,1,2,2,2,3,4,2,1,1,1,1,1,0,1,2,4,5,4,4,2,0,0,1,1,1,1,3,3
E00072565,E01014371,199,1,0,1,1,0,2,1,0,1,1,1,2,1,0,1,1,1,1,1,1,3,7,7,7,10,6,8,9,7,6,5,6,2,4,4,3,2,0,2,1,2,2,1,2,1,6,4,5,1,2,3,3,4,1,2,2,4,3,1,3,1,2,1,1,1,3,3,1,2,0,2,0,0,0,0,1,1,2,0,1,0,1,1,1,1,0,2,0,0,0,2
